연번,대분류,항목명,중분류,코드,소분류,항목명,세분류,real항목,세세분류,항목
346,,,,,,,,,26292,전자축전기 제조업
347,,,,,,,,,26293,전자저항기 제조업
348,,,,,,,,,26294,전자카드 제조업
349,,,,,,,,,26295,"전자코일, 변성기 및 기타 전자유도자 제조업"
350,,,,,,,,,26296,전자접속카드 제조업
351,,,,,,,,,26299,그외 기타 전자부품 제조업
352,,,,,263,컴퓨터 및 주변장치 제조업,2631,컴퓨터 제조업,26310,컴퓨터 제조업
353,,,,,,,2632,기억장치 및 주변기기 제조업,26321,기억장치 제조업
354,,,,,,,,,26322,컴퓨터 모니터 제조업
355,,,,,,,,,26323,컴퓨터 프린터 제조업
356,,,,,,,,,26329,기타 주변기기 제조업
357,,,,,264,통신 및 방송 장비 제조업,2641,유선 통신장비 제조업,26410,유선 통신장비 제조업
358,,,,,,,2642,방송 및 무선 통신장비 제조업,26421,방송장비 제조업
359,,,,,,,,,26422,이동전화기 제조업
360,,,,,,,,,26429,기타 무선 통신장비 제조업
361,,,,,265,영상 및 음향기기 제조업,2651,"텔레비전, 비디오 및 기타 영상기기 제조업",26511,텔레비전 제조업
362,,,,,,,,,26519,비디오 및 기타 영상기기 제조업
363,,,,,,,2652,"오디오, 스피커 및 기타 음향기기 제조업",26521,"라디오, 녹음 및 재생 기기 제조업"
364,,,,,,,,,26529,기타 음향기기 제조업
